ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,codeReference
yetf1238-aes,yetf1238,aes,3,aes-shifting,"Yetfa-Biksi (10579-yet) = Threatened (20 percent certain, based on the evidence available) [Lewis et al. 2015](cldf:lewis:paul:etal:ed:15)",569683,
kung1259-aes,kung1259,aes,6,aes-extinct,Kungarakany (6660-ggk) = Dormant [Aristar et al. 2012](cldf:aristar:aristar-dry:etal:12),569683,
cand1248-aes,cand1248,aes,2,aes-threatened,"Candoshi (1958-cbu) = Vulnerable (80 percent certain, based on the evidence available) (There's a language maintenance program as well as a bilingual education program.) [Crevels 2007](cldf:crevels:07)",569683,
buru1296-aes,buru1296,aes,3,aes-shifting,"Burushaski (1614-bsk) = Threatened (80 percent certain, based on the evidence available) (“…dominance of Urdu has resulted in a strong push for a majority of Burushos to shift to Urdu. As a result, many younger generation Burushos only have a receptive proficiency in Burushaski. With greater means of mobility, more and more people have chosen to move to bigger cities for education and employment. As a result, they shift to using Urdu as their primary language. Thus, imperfect knowledge of the language is very common and fluency in Burushaski among the second and third generation is on a rapid decline."") [Munshi 2014](cldf:munshi:14)",569683,
cofa1242-aes,cofa1242,aes,2,aes-threatened,"A'ingae (1043-con) = Vulnerable (100 percent certain, based on the evidence available) (In Ecuador, the language is learned by children and robustly spoken in all domains. It is severly endangered in Colombia. A'ingae is influenced by Kichwa, Spanish, and Siona-Secoya.) [Dabkowski 2021](cldf:dabkowski:21)",569683,
lule1238-aes,lule1238,aes,6,aes-extinct,Lule (ule-ule) = 10 (Extinct).,701778,
sulk1246-aes,sulk1246,aes,3,aes-shifting,"Sulka (10810-sua) = Threatened (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
mose1249-aes,mose1249,aes,2,aes-threatened,"Mosetén (2428-cas) = Vulnerable (80 percent certain, based on the evidence available) (""La mayoría de los chimanes son monolingües, pero hoy en día muchos hablantes más jóvenes son bilingües en chimane y castellano"" (p. 335).
[The majority of the Chimanes are monolinguals, but today many younger speakers are bilingual in Chimane and Spanish].) [Sakel 2009](cldf:sakel:09)",569683,
tiwi1244-aes,tiwi1244,aes,3,aes-shifting,"Tiwi (2574-tiw) = Threatened (20 percent certain, based on the evidence available) [Tryon 2007](cldf:tryon:07)",569683,
cani1243-aes,cani1243,aes,6,aes-extinct,Canichana (2913-caz) = Dormant [Crevels 2012](cldf:crevels:12:1),569683,
garr1260-aes,garr1260,aes,6,aes-extinct,Garawa (gbc-gbc) = 10 (Extinct),,
kena1236-aes,kena1236,aes,6,aes-extinct,Kenaboi (2286-) = Extinct,550905,
oyst1235-aes,oyst1235,aes,6,aes-extinct,Oyster Bay-Big River-Little Swanport (xpd-xpd) = 10 (Extinct).,,
sume1241-aes,sume1241,aes,6,aes-extinct,Sumerian (sux-sux) = 10 (Extinct).,,
yura1255-aes,yura1255,aes,3,aes-shifting,"Yuracaré (1634-yuz) = Threatened (20 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
lavu1241-aes,lavu1241,aes,3,aes-shifting,"Lavukaleve (10269-lvk) = Threatened (100 percent certain, based on the evidence available) (In the West Russells, people live a traditional lifestyle and grow up learning Lavukaleve as their first language. In the East Russells however, Pijin is more widespread, and many parents speak only Pijin to their children. As Pijin's influence becomes more widespread, Lavukaleve becomes more threatened.) [Terrill 2003](cldf:terrill:03:1)",569683,
saus1247-aes,saus1247,aes,3,aes-shifting,"Sause (2779-sao) = Endangered (40 percent certain, based on the evidence available) [Wurm 2007](cldf:wurm:07:1)",569683,
leco1242-aes,leco1242,aes,6,aes-extinct,Leco (2915-lec) = Dormant (A few semispeakers remain.) [Van de Kerke 2009](cldf:vandekerke:09),569683,
adai1235-aes,adai1235,aes,6,aes-extinct,Adai (xad-xad) = 10 (Extinct).,,
mara1266-aes,mara1266,aes,6,aes-extinct,Maratino (NOCODE_Maratino-NOCODE_Maratino) = 10 (Extinct).,,
mpur1239-aes,mpur1239,aes,3,aes-shifting,"Mpur (10731-akc) = Threatened (20 percent certain, based on the evidence available) [Odé 2002](cldf:ode:02:1)",569683,
guri1248-aes,guri1248,aes,3,aes-shifting,"Guriaso (4242-grx) = Endangered (20 percent certain, based on the evidence available) [Baron 1983](cldf:baron:83:3)",569683,
coah1252-aes,coah1252,aes,6,aes-extinct,Coahuilteco (xcw-xcw) = 10 (Extinct).,,
mink1237-aes,mink1237,aes,6,aes-extinct,Minkin (NOCODE_Minkin-NOCODE_Minkin) = 10 (Extinct).,,
cuit1236-aes,cuit1236,aes,6,aes-extinct,Cuitlatec (cuy-cuy) = 10 (Extinct).,701778,
guac1239-aes,guac1239,aes,6,aes-extinct,Guachi (NOCODE_Guachi-NOCODE_Guachi) = 10 (Extinct).,,
kibi1239-aes,kibi1239,aes,3,aes-shifting,"Kibiri-Porome (10741-prm) = Threatened (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
arut1244-aes,arut1244,aes,5,aes-nearly_extinct,Arutani (atx-atx) = 8b (Nearly extinct),579579,
alse1251-aes,alse1251,aes,6,aes-extinct,Alsea (aes-aes) = 10 (Extinct).,,
siam1242-aes,siam1242,aes,1,aes-not_endangered,Siamou (sif-sif) = 6a* (Vigorous).,701778,
laal1242-aes,laal1242,aes,3,aes-shifting,"Laal (576-gdm) = Endangered (20 percent certain, based on the evidence available) [Connell 2007](cldf:connell:07:1)",569683,
kari1254-aes,kari1254,aes,6,aes-extinct,Kipea (NOCODE_Kipea-NOCODE_Kipea) = 10 (Extinct).,,
paya1236-aes,paya1236,aes,6,aes-extinct,Payagua (NOCODE_Payagua-NOCODE_Payagua) = 10 (Extinct).,,
savo1255-aes,savo1255,aes,3,aes-shifting,"Savosavo (2490-svs) = Threatened (40 percent certain, based on the evidence available) [Wegener 2008](cldf:wegener:08)",569683,
mass1263-aes,mass1263,aes,4,aes-moribund,"Masep (2716-mvs) = Severely Endangered (20 percent certain, based on the evidence available) [Lewis 2009](cldf:lewis:ed:09)",569683,
kaki1249-aes,kaki1249,aes,3,aes-shifting,"Kaki Ae (2220-tbd) = Endangered (20 percent certain, based on the evidence available) [Lewis 2009](cldf:lewis:ed:09)",569683,
puin1248-aes,puin1248,aes,3,aes-shifting,"Puinave (2767-pui) = Threatened (20 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
take1257-aes,take1257,aes,6,aes-extinct,Takelma (tkm-tkm) = 10 (Extinct).,,
tall1235-aes,tall1235,aes,6,aes-extinct,Tallán (NOCODE_Tallan-NOCODE_Tallan) = 10 (Extinct).,,
sand1273-aes,sand1273,aes,2,aes-threatened,"Sandawe (2826-sad) = Vulnerable (20 percent certain, based on the evidence available) [Brenzinger 2011](cldf:brenzinger:11)",569683,
yele1255-aes,yele1255,aes,3,aes-shifting,"Yele (10812-yle) = Threatened (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
taus1253-aes,taus1253,aes,5,aes-nearly_extinct,"Taushiro (2163-trr) = Critically Endangered (20 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
dama1272-aes,dama1272,aes,3,aes-shifting,"Damal (201-uhn) = Threatened (80 percent certain, based on the evidence available) [Wurm 2007](cldf:wurm:07:1)",569683,
touo1238-aes,touo1238,aes,3,aes-shifting,"Touo (10811-tqu) = Threatened (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
bira1253-aes,bira1253,aes,5,aes-nearly_extinct,"Ongota (4002-bxe) = Critically Endangered (80 percent certain, based on the evidence available) (A moribund language which is not transmitted anymore, and which is used in extremely limited contexts) [Savà 2003](cldf:sava:03)",569683,
mola1238-aes,mola1238,aes,6,aes-extinct,Molala (825-mbe) = Extinct,550905,
xinc1237-aes,xinc1237,aes,6,aes-extinct,"Xinca (xin-xin) = 9 (Reawakening). Recognized language (2003, Law of National Languages, Decree 19).",701778,
cent2045-aes,cent2045,aes,6,aes-extinct,Jalaa (cet-cet) = 10 (Extinct).,,
hrus1242-aes,hrus1242,aes,3,aes-shifting,"Hruso (4278-hru) = Threatened (20 percent certain, based on the evidence available) (Steady shift away from Hruso, especially among youth educated outside the area.) [Simons; and Fennig 2013](cldf:simons;:fennig:ed:13)",569683,
timu1245-aes,timu1245,aes,6,aes-extinct,Timucua (tjm-tjm) = 10 (Extinct).,,
anem1249-aes,anem1249,aes,3,aes-shifting,"Anem (10806-anz) = Endangered (20 percent certain, based on the evidence available) (...'Vital despite the highly multilingual nature of the Anem people and the addition of Tok Pisin to domains that used to be the sole territory of Anem' (Carteret al. 2012:3)) [Hammarström 2017](cldf:hammarstroem:17)",569683,
hadz1240-aes,hadz1240,aes,3,aes-shifting,"Hadza (605-hts) = Threatened (40 percent certain, based on the evidence available) [Brenzinger 2011](cldf:brenzinger:11)",569683,
shom1245-aes,shom1245,aes,3,aes-shifting,"Shom Peng (5146-sii) = Threatened (60 percent certain, based on the evidence available) (There are indications that the language is being transmitted to children.) [Hammarström 2010](cldf:hammarstroem:10:2)",569683,
jira1235-aes,jira1235,aes,6,aes-extinct,Jirajaran (NOCODE_Jirajaran-NOCODE_Jirajaran) = 10 (Extinct).,,
pume1238-aes,pume1238,aes,3,aes-shifting,"Yaruro (1644-yae) = Threatened (20 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
zuni1245-aes,zuni1245,aes,3,aes-shifting,"Zuni (627-zun) = Threatened (60 percent certain, based on the evidence available) [Golla et al. 2008](cldf:golla:goddard:etal:08)",569683,
puqu1242-aes,puqu1242,aes,6,aes-extinct,Puquina (puq-puq) = 10 (Extinct).,,
guat1253-aes,guat1253,aes,5,aes-nearly_extinct,"Guató (2894-gta) = Critically Endangered (80 percent certain, based on the evidence available) [Crevels 2007](cldf:crevels:07)",569683,
sape1238-aes,sape1238,aes,6,aes-extinct,Sapé (spc-spc) = 9 (Dormant).,701778,
otom1276-aes,otom1276,aes,6,aes-extinct,Otomaco (NOCODE_Otomaco-NOCODE_Otomaco) = 10 (Extinct).,,
momu1241-aes,momu1241,aes,3,aes-shifting,"Momuna (2717-mqf) = Threatened (20 percent certain, based on the evidence available) [Lewis 2009](cldf:lewis:ed:09)",569683,
waor1240-aes,waor1240,aes,3,aes-shifting,"Waorani (2065-auc) = Threatened (20 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
mata1275-aes,mata1275,aes,6,aes-extinct,Matanawí (NOCODE_Matanawi-NOCODE_Matanawi) = 10 (Extinct).,,
vile1241-aes,vile1241,aes,6,aes-extinct,Vilela (1849-vil) = Dormant [Crevels 2012](cldf:crevels:12:3),569683,
come1251-aes,come1251,aes,6,aes-extinct,Comecrudo (xcm-xcm) = 10 (Extinct).,,
tana1288-aes,tana1288,aes,3,aes-shifting,"Tanahmerah (10732-tcm) = Endangered (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
wara1303-aes,wara1303,aes,2,aes-threatened,"Warao (1953-wba) = Vulnerable (20 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
omur1241-aes,omur1241,aes,6,aes-extinct,Omurano (omu-omu) = 10 (Extinct).,701778,
atac1235-aes,atac1235,aes,6,aes-extinct,Atacame (NOCODE_Atacame-NOCODE_Atacame) = 10 (Extinct).,,
sali1253-aes,sali1253,aes,6,aes-extinct,Antoniano (838-sln) = Extinct; Migueleño (839-sln) = Extinct,550905,
bilu1245-aes,bilu1245,aes,3,aes-shifting,"Bilua (10808-blb) = Threatened (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
yama1264-aes,yama1264,aes,6,aes-extinct,Yámana (yag-yag) = 9 (Dormant).,,
tuni1252-aes,tuni1252,aes,6,aes-extinct,"Tunica (8969-tun) = Awakening (While the last native speaker of Tunica passed away in 1949, The Tunica-Biloxi Tribe of Marksville, Louisana has been working with the Tulane Linguistics department to revitalize the Tunica language for the past two years.  Using documents produced by Albert Gatschet, John Swanton and Mary Haas, the Tunica Tulane Language Project has created an updated orthography, written Tunica prayers, and produced several Tunica children's books with accompanying recording in Tunica. Lesson plans have also been created, and the Tunica-Biloxi Tribe held its first Tunica language camp in the summer of 2012. Current projects include producing an updated Tunica dictionary as well as an illustrated dictionary for children, creating a pedagogical grammar based on Haas, and producing digital, interactive language learning tools to accompany an ever increasing number of lesson plans.  So while Tunica is currently sleeping, the Tunica-Biloxi Tribe is very adamantly trying to rouse it from its slumber.) [n.a. 2012](cldf:np:12:15)",569683,
etru1241-aes,etru1241,aes,6,aes-extinct,Etruscan (ett-ett) = 10 (Extinct).,,
chit1248-aes,chit1248,aes,6,aes-extinct,Chitimacha (510-ctm) = Awakening [of Louisiana n.d.](cldf:oflouisiana:nd),569683,
kehu1238-aes,kehu1238,aes,4,aes-moribund,"Kehu (4386-khh) = Severely Endangered (20 percent certain, based on the evidence available) [Lewis 2009](cldf:lewis:ed:09)",569683,
wiru1244-aes,wiru1244,aes,2,aes-threatened,"Wiru (5177-wiu) = Vulnerable (20 percent certain, based on the evidence available) [Lewis 2009](cldf:lewis:ed:09)",569683,
kimk1238-aes,kimk1238,aes,3,aes-shifting,"Kimki (5147-sbt) = Threatened (40 percent certain, based on the evidence available) (Most domains.) [Lewis et al. 2015](cldf:lewis:paul:etal:ed:15)",569683,
abun1252-aes,abun1252,aes,3,aes-shifting,"Abun (10730-kgr) = Threatened (20 percent certain, based on the evidence available) [Berry and Berry 1999](cldf:berry:berry:99)",569683,
pira1253-aes,pira1253,aes,2,aes-threatened,"Pirahã (2952-myp) = Vulnerable (60 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
tabo1241-aes,tabo1241,aes,3,aes-shifting,"Tabo (6674-knv) = Threatened (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
umbu1235-aes,umbu1235,aes,6,aes-extinct,Umbugarla (3424-umr) = Dormant [Evans 2001](cldf:evans:01),569683,
cayu1241-aes,cayu1241,aes,6,aes-extinct,Cayuse (881-xcy) = Extinct,550905,
kara1497-aes,kara1497,aes,6,aes-extinct,Karami (2677-xar) = Extinct,550905,
bang1363-aes,bang1363,aes,3,aes-shifting,"Bangime (8172-dba) = Threatened (20 percent certain, based on the evidence available) [Hantgan 2010](cldf:hantgan:10)",569683,
maku1246-aes,maku1246,aes,6,aes-extinct,Máku (624-) = Extinct,550905,
rama1271-aes,rama1271,aes,6,aes-extinct,Ramanos (NOCODE_Ramanos-NOCODE_Ramanos) = 10 (Extinct).,,
xuku1239-aes,xuku1239,aes,6,aes-extinct,Xukurú (xoo-xoo) = 9 (Dormant).,701778,
mimi1240-aes,mimi1240,aes,6,aes-extinct,Mimi-Gaudefroy (NOCODE_Mimi-Gaudefroy-NOCODE_Mimi-Gaudefroy) = 10 (Extinct).,,
anda1286-aes,anda1286,aes,6,aes-extinct,Andaqui (ana-ana) = 9 (Dormant).,701778,
boga1247-aes,boga1247,aes,3,aes-shifting,"Bogaya (10743-boq) = Endangered (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
wadj1254-aes,wadj1254,aes,4,aes-moribund,"Batjamalh (3360-wdj) = Severely Endangered (20 percent certain, based on the evidence available) [Wurm 2007](cldf:wurm:07:1)",569683,
morb1239-aes,morb1239,aes,4,aes-moribund,"Mor (Bomberai Peninsula, Indonesia) (2718-moq) = Severely Endangered (40 percent certain, based on the evidence available) [Wurm 2007](cldf:wurm:07:1)",569683,
burm1264-aes,burm1264,aes,3,aes-shifting,"Burmeso (4027-bzu) = Endangered (20 percent certain, based on the evidence available) [Lewis 2009](cldf:lewis:ed:09)",569683,
kusu1250-aes,kusu1250,aes,5,aes-nearly_extinct,"Kusunda (5873-kgg) = Critically Endangered (100 percent certain, based on the evidence available) (""Other Kusunda people... can only speak a few Kusunda words, but can't communicate [fully] in the language.""
-- Gyani Maiya Sen) [Gautam 2012](cldf:gautam:12)",569683,
klam1254-aes,klam1254,aes,6,aes-extinct,Klamath-Modoc (2291-kla) = Awakening [Johansen 2007](cldf:johansen:07),569683,
aika1237-aes,aika1237,aes,2,aes-threatened,"Aikanã (669-tba) = Vulnerable (80 percent certain, based on the evidence available) [van der Voort 2013](cldf:vandervoort:13:2)",569683,
kuja1239-aes,kuja1239,aes,3,aes-shifting,"Kujarge (575-vkj) = Endangered (20 percent certain, based on the evidence available) [Hammarström 2010](cldf:hammarstroem:10:2)",569683,
fuyu1242-aes,fuyu1242,aes,1,aes-not_endangered,Fuyug (fuy-fuy) = 6a (Vigorous).,701778,
kuot1243-aes,kuot1243,aes,3,aes-shifting,"Kuot (2229-kto) = Threatened (20 percent certain, based on the evidence available) [Lewis 2009](cldf:lewis:ed:09)",569683,
kara1289-aes,kara1289,aes,6,aes-extinct,Karankawa (zkk-zkk) = 10 (Extinct).,,
karo1304-aes,karo1304,aes,4,aes-moribund,Karuk (2297-kyh) = severely endangered,569683,
guam1236-aes,guam1236,aes,6,aes-extinct,Guamo (NOCODE_Guamo-NOCODE_Guamo) = 10 (Extinct).,,
kapo1250-aes,kapo1250,aes,2,aes-threatened,"Kapori (1890-khp) = Vulnerable (60 percent certain, based on the evidence available) (Transmission of the language from older generations to younger generations is regular.) [Hammarström 2010](cldf:hammarstroem:10:2)",569683,
pank1250-aes,pank1250,aes,6,aes-extinct,Pankararú (paz-paz) = 9 (Dormant).,701778,
taia1239-aes,taia1239,aes,4,aes-moribund,"Taiap (2216-gpn) = Severely Endangered (60 percent certain, based on the evidence available) (In 1990, no children under 10 had an active command of Taiap.) [Hammarström 2017](cldf:hammarstroem:17)",569683,
tonk1249-aes,tonk1249,aes,6,aes-extinct,Tonkawa (tqw-tqw) = 9 (Dormant). Language of registered tribe: Tonkawa Tribe of Indians of Oklahoma.,701778,
suar1238-aes,suar1238,aes,3,aes-shifting,"Asaba (2687-seo) = Threatened (60 percent certain, based on the evidence available) (Young people are quite bilingual in the large Telefol language, the western neighbour of Suarmin, which puts pressure upon it.) [Wurm 2007](cldf:wurm:07:1)",569683,
muni1258-aes,muni1258,aes,6,aes-extinct,Muniche (myr-myr) = 10 (Extinct).,,
lenc1239-aes,lenc1239,aes,6,aes-extinct,Lenca (len-len) = 9 (Dormant).,701778,
chim1301-aes,chim1301,aes,6,aes-extinct,Chimariko (cid-cid) = 10 (Extinct).,701778,
yuch1247-aes,yuch1247,aes,5,aes-nearly_extinct,"Yuchi (1002-yuc) = Critically Endangered (80 percent certain, based on the evidence available) [Golla et al. 2008](cldf:golla:goddard:etal:08)",569683,
papi1255-aes,papi1255,aes,4,aes-moribund,"Papi (2645-ppe) = Severely Endangered (20 percent certain, based on the evidence available) [Conrad and Lewis 1988](cldf:conrad:lewis:88)",569683,
kute1249-aes,kute1249,aes,5,aes-nearly_extinct,Ktunaxa (1937-kut) = critically endangered,569683,
iber1250-aes,iber1250,aes,6,aes-extinct,Iberian (xib-xib) = 10 (Extinct).,,
yuru1243-aes,yuru1243,aes,6,aes-extinct,Yurumanguí (NOCODE_Yurumangui-NOCODE_Yurumangui) = 10 (Extinct).,,
taru1236-aes,taru1236,aes,5,aes-nearly_extinct,"Taruma (6969-tdm) = Critically Endangered (80 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
otii1244-aes,otii1244,aes,6,aes-extinct,Oti (oti-oti) = 10 (Extinct).,701778,
yale1246-aes,yale1246,aes,3,aes-shifting,"Yalë (10682-nce) = Endangered (20 percent certain, based on the evidence available) [Campbell and Campbell 1987](cldf:campbell:campbell:87)",569683,
cayu1262-aes,cayu1262,aes,6,aes-extinct,Cayubaba (cyb-cyb) = 9 (Dormant).,701778,
demm1245-aes,demm1245,aes,3,aes-shifting,"Dem (4070-dem) = Threatened (20 percent certain, based on the evidence available) [Lewis 2009](cldf:lewis:ed:09)",569683,
usku1243-aes,usku1243,aes,3,aes-shifting,"Afra (2799-ulf) = Threatened (60 percent certain, based on the evidence available) (The younger generation is just as strong in Indonesian as it is in Afra, which points to a weakening of the vernacular.) [Hammarström 2010](cldf:hammarstroem:10:2)",569683,
iton1250-aes,iton1250,aes,6,aes-extinct,Itonama (ito-ito) = 5* (Developing).,701778,
abis1238-aes,abis1238,aes,6,aes-extinct,Tequiraca (3665-ash) = Dormant [Crevels 2012](cldf:crevels:12:3),569683,
pele1245-aes,pele1245,aes,3,aes-shifting,"Pele-Ata (10807-ata) = Threatened (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
basq1248-aes,basq1248,aes,2,aes-threatened,Basque (415-eus) = Vulnerable,550905,
wage1238-aes,wage1238,aes,4,aes-moribund,"Wagiman (2576-waq) = Severely Endangered (40 percent certain, based on the evidence available) (The use of the English-based pidgin lingua franca Kriol has been increasing, and the speakers have become much fewer.) [Wurm 2007](cldf:wurm:07:1)",569683,
tamb1257-aes,tamb1257,aes,6,aes-extinct,Tambora (xxt-xxt) = 10 (Extinct).,,
tini1245-aes,tini1245,aes,5,aes-nearly_extinct,"Tinigua (2146-tit) = Critically Endangered (20 percent certain, based on the evidence available) [Tobal 2013](cldf:tobal:13)",569683,
beot1247-aes,beot1247,aes,6,aes-extinct,Beothuk (bue-bue) = 10 (Extinct).,,
duna1248-aes,duna1248,aes,1,aes-not_endangered,Duna (duc-duc) = 6a (Vigorous).,701778,
elam1244-aes,elam1244,aes,6,aes-extinct,Elamite (elx-elx) = 10 (Extinct).,,
bert1248-aes,bert1248,aes,3,aes-shifting,"Fadashi (5931-wti-fad) = Threatened (20 percent certain, based on the evidence available)",569683,
kunz1244-aes,kunz1244,aes,6,aes-extinct,Atacameño (573-kuz) = Extinct,550905,
movi1243-aes,movi1243,aes,3,aes-shifting,Movima (1853-mzp) = threatened,569683,
nara1262-aes,nara1262,aes,2,aes-threatened,Nara (nrb-nrb) = 6b (Threatened).,701778,
fuln1247-aes,fuln1247,aes,3,aes-shifting,"Yaté (1642-fun) = Threatened (20 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
mato1253-aes,mato1253,aes,6,aes-extinct,Arára of Mato Grosso (3032-axg) = Dormant [Lewis 2009](cldf:lewis:ed:09),569683,
kano1245-aes,kano1245,aes,5,aes-nearly_extinct,"Kapixaná (3113-kxo) = Critically Endangered (20 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
coto1248-aes,coto1248,aes,6,aes-extinct,Cotoname (xcn-xcn) = 10 (Extinct).,,
paez1247-aes,paez1247,aes,2,aes-threatened,"Paez (2964-pbb) = Vulnerable (20 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
seri1257-aes,seri1257,aes,3,aes-shifting,"Seri (5846-sei) = Threatened (80 percent certain, based on the evidence available) (""La comunicación entre los miembros de la comunidad seri se conduce principalmente en la lengua seri, y no se ha reportado ni se ha observado ningún problema de comunicación. La lengua seri se utiliza en casi todos ámbitos de la vida."" [Communication between members of the Seri community are conducted principally in Seri, and there are no reports nor has it been observed that there is any problem with communication. Seri is used in almost all spheres of life.]
""Los matrimonios con personas de habla española (cocsar) tienen, obviamente, más contacto con el español en el hogar. En algunos casos los niños de esas familias son dominantes en el español, o lo hablan exclusivamente. Se ha observado que a veces sus propios abuelos seris hablan a estos niños en español. Cuando estos niños juegan con los niños de habla seri, las conversaciones son en español. Sin embargo, mayormente los niños de todas edades en la comunidad son hablantes fluidos de la lengua."" [Marriages with Spanish-speaking people have, obviously, more contact with Spanish in the home. In some cases the children of these families are Spanish-dominant, or speak it exclusively. It has been observed that sometimes their Seri grandparents speak to these children in Spanish. When these children play with children that speak Seri, the conversations are in Spanish. However, mostly children of all ages in the community are fluent speakers of the language.]) [Marlett 2006](cldf:marlett:06:4)",569683,
molo1262-aes,molo1262,aes,3,aes-shifting,"Powle-Ma (4714-msl) = Endangered (20 percent certain, based on the evidence available) [Lewis 2009](cldf:lewis:ed:09)",569683,
kolp1236-aes,kolp1236,aes,3,aes-shifting,"Kol (10809-kol) = Threatened (20 percent certain, based on the evidence available) [Hammarström 2017](cldf:hammarstroem:17)",569683,
urar1246-aes,urar1246,aes,3,aes-shifting,"Urarina (1960-ura) = Threatened (20 percent certain, based on the evidence available) [Crevels 2012](cldf:crevels:12:3)",569683,
esse1238-aes,esse1238,aes,6,aes-extinct,Esselen (esq-esq) = 9 (Dormant).,701778,
abin1243-aes,abin1243,aes,5,aes-nearly_extinct,"Abinomn (1763-bsa) = Critically Endangered (40 percent certain, based on the evidence available) (Speakers are shifting to the neighbouring Mander language, which also has few native speakers. The number of Foya speakers is likely to be considerably less than fifty. It has been seriously endangered before, but is now more likely to be moribund.) [Wurm 2007](cldf:wurm:07:1)",569683,
timo1237-aes,timo1237,aes,6,aes-extinct,Timote-Cuica (NOCODE_Timote-Cuica-NOCODE_Timote-Cuica) = 10 (Extinct).,,
hatt1246-aes,hatt1246,aes,6,aes-extinct,Hattic (xht-xht) = 10 (Extinct).,,
iran1263-aes,iran1263,aes,4,aes-moribund,Irantxe (3271-irn) = severely endangered,569683,
cull1235-aes,cull1235,aes,6,aes-extinct,Culle (594-) = Extinct,550905,
