Subject,ID,Name,Description,Datatype,Upstream_Parameter_ID,Card_Field,Projection_Rule,Absence_Policy,Disposition,Authority,Sources
language,marksPastTense,Marks past tense,Whether past tense is morphologically marked.,boolean,GB083,typologicalProfile.marksPastTense,direct,omit,DONE,,grambank
language,marksPresentTense,Marks present tense,Whether present tense is morphologically marked.,boolean,GB084,typologicalProfile.marksPresentTense,direct,omit,DONE,,grambank
language,hasSexBasedGender,Has sex-based gender,Whether the gender system is sex-based.,boolean,GB051,typologicalProfile.hasSexBasedGender,direct,omit,DONE,,grambank
language,medLevel,MED level,"Glottolog's Most Extensive Description level: grammar, grammar sketch, phonology, wordlist and so on.",string,,documentation.medLevel,direct,omit,DONE,,glottolog
language,medSourceId,MED source ID,Bibliographic key of the most extensive description.,string,,documentation.medSourceId,direct,omit,DONE,,glottolog
language,firstDocumented,First documented,"The earliest year of documentation Glottolog records. GLOTTOLOG'S column (First_Year_Of_Documentation), not our arithmetic -- present on only 217 languages, which is itself worth knowing.",integer,,documentation.firstDocumented,direct,omit,DONE,,glottolog-cldf
language,lastDocumented,Last documented,"The most recent year of documentation Glottolog records. GLOTTOLOG'S column (Last_Year_Of_Documentation), present on 1,076 languages.",integer,,documentation.lastDocumented,direct,omit,DONE,,glottolog-cldf
language,endonym,Endonym,"The name speakers use for their own language. ATTRIBUTED across LinguaMeta and Wikidata P1705, because a language may have several native names in several scripts and communities do not always agree which is right -- choosing a primary one would be this project making a call that is not its to make. `nativeName` was a SECOND field for this same concept sourced from Wikidata; merging them is the one-concept-one-field rule applied to my own registry.",string,,endonym,attributed,omit,DONE,,linguameta|wikidata
language,bcp47,BCP 47 tag,IETF language tag.,string,,bcp47,direct,omit,DONE,,linguameta
language,cldrOfficialStatus,CLDR official status,Official status CLDR records for this language in some territory.,string,,cldrOfficialStatus,direct,omit,DONE,,linguameta
language,script,Script,An ISO 15924 script code used to write this language.,string,,scripts,list,omit,DONE,,linguameta
language,scriptName,Script name,"OURS: the ISO 15924 registry name for a script code another source recorded. A LIST, because a language can use several -- Plains Cree is written in both Unified Canadian Aboriginal Syllabics and Latin, and projecting a single value silently dropped one. Unicode says what a code means; it says nothing about which languages use it, so the composite is champollion-derived.",string,,scriptNames,list,omit,DONE,,champollion-derived
language,textDirection,Text direction,"Writing direction, from CLDR.",string,,textDirection,direct,omit,DONE,,unicode-cldr
language,numeralBase,Numeral base,"The numeral base, VERBATIM from Chan's Base column. 2,777 of 5,332 languages (52%) have it EMPTY and empty means empty -- a previous generator assigned a base anyway and invented 2,005 values. Chan records 94 distinct bases including binary, body tally, quinary-vigesimal and complicated; flattening those to decimal destroyed exactly the systems that change an MT pipeline.",string,,numeralSystem.base,direct,omit,DONE,,channumerals
language,numeralHighestElicited,Highest numeral elicited,"The highest numeral the questionnaire elicited. A fact about the questionnaire, not about the language's counting.",integer,,numeralSystem.highestElicited,direct,omit,PENDING,,channumerals
language,colexificationConcepts,Colexification concepts,OURS: count of CLICS concepts attested for this language.,integer,,lexicalResources.colexificationConcepts,derived,omit,DONE,,champollion-derived
language,colexifyingForms,Colexifying forms,"OURS: forms in this language that map to TWO OR MORE distinct Concepticon concepts in CLICS3 -- the colexifications. Bounded by colexificationConcepts and checked against it: the previous corpus shipped cards where this exceeded the concept count, which is arithmetically impossible and means the join was wrong.",integer,,lexicalResources.colexifyingForms,derived,omit,DONE,,champollion-derived
language,lexicalResource,Lexical resource,"A published wordlist covering this language, with its concept count. Existence and coverage only — never a typological claim. Variant names the dataset.",json,,lexicalResources.datasets,list,omit,DONE,,cldf-wordlist
language,dictionaryResource,Dictionary resource,"A published dictionary covering this language. EXISTENCE, never quality: that somebody publishes one, never that it is good, complete, or usable. Two upstreams write here and they carry different detail — a CLDF dictionary dataset knows its entry count, a GiellaLT/ALTLab repository knows the pair and direction — so entries are not uniform in shape, and each says which source it came from. They are ONE parameter because they are one fact; forking a second would make has a dictionary mean two things that could never be counted together. DIRECTED where the upstream says so: dict-sme-nob and dict-nob-sme are separately published and a dictionary that goes one way is a different resource from one that goes the other.",json,,lexicalResources.dictionaries,list,omit,DONE,,cldf-dictionary;giellalt-resources
language,coveredBy,Covered by,"OURS: a source that asserts at least one fact about this language. Computed by the projector over the value set for a language, not stored as a value -- so it has no source and cannot be produced by an ingester.",string,,coverage.coveredBy,derived,omit,PROJECTED,,champollion-derived
language,sourceCount,Source count,"OURS: how many distinct sources assert a fact about this language. Computed by the projector over the value set for a language, not stored as a value -- so it has no source and cannot be produced by an ingester.",integer,,coverage.sourceCount,derived,omit,PROJECTED,,champollion-derived
language,componentsPresent,Components present,"OURS: how many card components carry a value. Computed by the projector over the value set for a language, not stored as a value -- so it has no source and cannot be produced by an ingester.",integer,,coverage.componentsPresent,derived,omit,PROJECTED,,champollion-derived
language,componentsTotal,Components total,"OURS: how many card components exist to be filled. Computed by the projector over the value set for a language, not stored as a value -- so it has no source and cannot be produced by an ingester.",integer,,coverage.componentsTotal,derived,omit,PROJECTED,,champollion-derived
language,methodSupport,Method support,"Whether a translation method covers this language. Existence and capability, never a measured score (lint R3). Variant names the method.",string,,methodSupport,tiered,omit,DONE,,curated:method-coverage
language,wikipediaEdition,Wikipedia edition,"An open Wikipedia edition in this language, with its site code and URL. EXISTENCE ONLY: for many low-resource languages this is the largest body of monolingual running text that exists, and it is not evidence of quality or size. Article counts are deliberately not carried -- several editions are largely bot-generated, and a 200,000-article edition is not 'better documented' than a 2,000-article one in any sense a translator can use.",json,,wikipediaEdition,direct,omit,DONE,,wikipedia
language,supersededCode,Superseded ISO code,"A retired ISO 639-3 code that SIL now directs to this language. Recorded on the SUCCESSOR because a retired code has no card of its own — published corpora do not update when a registry changes its mind, so a practitioner arriving with the old code needs to find where it went.",string,,supersededCodes,list,omit,DONE,,sil-iso639-3
language,metricModelSupport,Metric model support,"An evaluation metric model that publishes coverage of this language, and the model identifier a harness loads. Existence and capability, never a score (lint R3). Variant names the model. AfriCOMET evaluates African languages better than default COMET, so this drives a real choice; the previous source cited the wrong paper on all 109 cards it touched.",string,,metricModelSupport,attributed,omit,DONE,,curated:metric-coverage
language,codeAlias,Code alias,"Another code that resolves to this language. DERIVED from SIL's own ISO 639-1 column: a language holding Part1 'fr' is what 'fr' means. This is what lets a caller type a two-letter code and reach a card, and losing it broke every consumer that does. AMBIGUOUS codes are NOT here -- routing 'zh' to Mandarin is an editorial choice recorded in shared/catalogue/code-routing.json, because it is our decision and not something SIL says.",string,,codeAliases,list,omit,DONE,,champollion-derived
language,politenessDistinction,Politeness distinction,"Whether the language grammaticalises politeness in second-person forms. ATTRIBUTED across Grambank GB415 (binary: absent/present) and WALS 45A (four levels: no distinction / binary / multiple / pronouns avoided), which are different scales and are reported as incommensurable rather than as a disagreement. This is the FACT behind what the previous corpus stored as `formality` prose on 1,781 cards and `registers` prompts on 1,775 -- 94% of both were generated from these two sources and then carried as though they were configuration.",string,GB415,politenessDistinction,attributed,omit,DONE,,grambank|wals
language,pluralCategories,Plural categories,"The cardinal plural categories this language distinguishes, as CLDR states them -- Arabic has six (zero, one, two, few, many, other), French three, Chinese one. An i18n pipeline needs this to know how many plural forms a message must supply; getting it wrong produces translations that are grammatically impossible rather than merely awkward. Read from the keys of CLDR's own rule set, so it is CLDR's claim and not our derivation.",json,,pluralCategories,direct,omit,DONE,,cldr-plurals
language,canonicalisedMember,Canonicalised member,"For a MACROLANGUAGE, an individual language whose tag the BCP 47 world folds INTO this macrolanguage's tag. CLDR's alias table (reason=macrolanguage) and SIL's langtags (iso639_3extra) each assert it independently -- Unicode folds for locale identifiers, the langtags editors fold for tag equivalence. Stated as the raw relation and NOT as ""the predominant member"", because those are not the same claim: `zho` takes exactly one (cmn) and naming it predominant is sound, while `aka` takes two (fat and twi) and Akan simply has no single dominant member. Whether a macrolanguage HAS a predominant member is therefore derived at resolution time from how many members fold in and whether the two registries agree -- one member, both registries, no disagreement, or it is ambiguous. A macrolanguage neither registry folds has none at all, which is why `nor` stays an editorial decision instead of being laundered into a cited one.",string,,canonicalisedMembers,attributed,omit,DONE,,cldr-supplemental|sil-langtags
language,bcp47Tag,BCP 47 tag,"The canonical BCP 47 language tag for this language -- what the localisation world calls it, as against what ISO 639-3 calls it. Mandarin is `cmn` here and `zh` there, and both are correct in their own register. Recording it is what lets the atlas speak to Google, DeepL and CLDR without either side's identifier being treated as the only real one.",string,,bcp47Tag,attributed,omit,DONE,sil-langtags,sil-langtags|cldr-supplemental
language,bcp47FullTag,BCP 47 full tag,"The maximal form of the tag -- language, script and region, as in `zh-Hans-CN` or `crk-Cans-CA`. SIL's langtags states it per equivalence set and CLDR's likelySubtags derives it independently. Useful precisely where a bare language code is not enough: it is the difference between asking for Plains Cree and asking for Plains Cree in syllabics.",string,,bcp47FullTag,attributed,omit,DONE,sil-langtags,sil-langtags|cldr-supplemental
language,suppressScript,Suppress script,"The script subtag that is REDUNDANT for this language because it is overwhelmingly the only one used -- `Latn` for English, `Cyrl` for Russian. IANA's own registry field, and one of the few things in that registry that is not an echo of ISO 639-3. It tells a tag normaliser when to drop a script rather than when to add one.",string,,suppressScript,direct,omit,DONE,iana-subtag-registry,iana-subtag-registry
method,methodLanguageCount,Method language count,"How many languages a method's OWN published list contains, counted by us from the fetched list. The publisher's claim is a separate thing: a method may advertise a number and publish no enumeration, and the gap between the two is the most informative fact about it. This is the counted one, so it is champollion-derived and never the vendor's assertion.",integer,,languageCount,derived,omit,DONE,,champollion-derived
method,methodPairCount,Method pair count,"How many language PAIRS a method publishes, where it publishes pairs at all. LibreTranslate gives every language a `targets` array and Apertium is rule-based and lists pairs outright; most vendors publish only a language list, and for those this is absent rather than computed. Coverage of a language never implies a pair exists, which is why the two counts are separate parameters.",integer,,pairCount,derived,omit,DONE,,champollion-derived
method,methodPairsObserved,Method pairs observed,"Whether the pair set was READ from the publisher or merely assumed from anyToAny. The register asserts anyToAny by hand for eleven methods; for the two that publish pairs it is now observed, and the difference between an observation and an assumption belongs on the card.",boolean,,pairsObserved,direct,omit,DONE,,champollion-derived
method,methodDerivedFrom,Method derived from,"The model a method's own card cites as its base. DECLARED ONLY, never inferred: 5,391 HuggingFace models name a base_model, while roughly 6,160 more are plainly re-hosts or format conversions that say nothing — WindstormLabs publishes 3,139 models named `origin-Helsinki-NLP-opus-mt-*`. Reading derivation off a repository name would be manufacturing, because a name is not a citation. The consequence is that a method count is a count of UPLOADS unless it says otherwise, and this field is what lets a reader tell the difference.",string,,derivedFrom,direct,omit,DONE,,champollion-derived
language,fstResource,FST resource,"A finite-state morphological analyser published for this language, with its repository, licence and archived state. EXISTENCE ONLY (boundary invariant kind 2): that an analyser repository exists and who publishes it, never that it compiles, covers the grammar, or is accurate — those are measured claims and belong to a run, not a card. The LICENCE travels with each entry rather than being assumed uniform across the catalogue, because this project's own boundary forbids bundling GPL/AGPL FST code into proprietary CLI paths and that decision needs the actual terms. For a polysynthetic language an FST is frequently the only structural check that exists at all.",json,,resources.fsts,list,omit,DONE,giellalt-fsts,giellalt-fsts
corpus,corpusPairCount,Corpus pair count,"How many language PAIRS a parallel corpus publishes, counted by us from the fetched index. A corpus is not covered by a language count: GlobalVoices names 49 languages and publishes 854 pairs, and which pairs exist is the question a translator actually has.",integer,,pairCount,derived,omit,DONE,,champollion-derived
corpus,corpusLanguageCount,Corpus language count,"How many distinct languages appear on either side of a corpus's pairs, counted from the fetched index.",integer,,languageCount,derived,omit,DONE,,champollion-derived
corpus,corpusAlignmentPairs,Corpus alignment pairs,"Total aligned segments across every pair in the corpus, as the publisher's own index reports them. This is the number that decides whether a corpus can resolve anything: median corpus size across our existing cards is 137 segments, and 137 segments cannot distinguish systems differing by less than roughly four chrF++.",integer,,alignmentPairs,derived,omit,DONE,,champollion-derived
language,corpusResource,Corpus resource,"A parallel corpus that attests this language, with the pair it appears in and the publisher's own alignment and token counts. EXISTENCE and SIZE, never quality: that data exists and how much of it, never that it is clean, in-domain, or usable. The pair rides on the value because a corpus attests a language only THROUGH a pair — there is no such thing as monolingual coverage in a parallel corpus, and a card that said 'GlobalVoices covers Swahili' without saying against what would be answering a question nobody asked.",json,,resources.corpora,list,omit,DONE,opus-corpora,opus-corpora
language,keyboardResource,Keyboard layout resource,"A published keyboard layout for this language. Existence only. This matters more than its plainness suggests: for a language whose orthography needs characters no standard layout produces, a keyboard layout is the difference between the language being typable at all and not, and it is a prerequisite for every other resource being created by its own speakers.",json,,resources.keyboards,list,omit,DONE,giellalt-resources,giellalt-resources
language,monolingualCorpusResource,Monolingual corpus resource,"A published monolingual corpus for this language — text in the language, not aligned to another. Kept separate from corpusResource, which is parallel: the two answer different questions, and one shape holding both would make 'has a corpus' mean two incomparable things. Existence only, never size or cleanliness.",json,,resources.monolingualCorpora,list,omit,DONE,giellalt-resources,giellalt-resources
language,speechResource,Speech resource,A published speech resource for this language. Existence only.,json,,resources.speech,list,omit,DONE,giellalt-resources,giellalt-resources
language,typologyResource,Typological dataset coverage,"A typological or structural dataset that CODES this language, with how many features it codes. EXISTENCE AND EXTENT, never content: that uratyp codes Erzya on 360 features is a fact about documentation coverage; what any feature says stays out until a person writes the parameter map that accepts it. This is the same lane Wordlists already use for lexical existence — a StructureDataset with no map is attested, not interpreted, because auto-ingesting semantics under guessed mappings is how a card comes to claim things nobody decided. The feature count is OUR arithmetic over the publisher's rows, so it carries champollion-derived provenance with Derived_From naming the release.",json,,resources.typology,list,omit,DONE,,champollion-derived
language,inclusiveExclusive,Inclusive/exclusive distinction,"Whether independent pronouns distinguish inclusive from exclusive first-person plural. Grambank codes this BINARY (GB028); WALS 39A codes five types — separate Source_Scales, so a card showing both reports them incommensurable rather than disagreeing.",string,GB028,typologicalProfile.inclusiveExclusive,attributed,omit,DONE,,grambank|wals
language,clicsUniqueForms,CLICS unique forms,OURS: count of distinct forms attested for this language across CLICS3's aggregated datasets. The denominator of colexificationDensity.,integer,,lexicalResources.clicsUniqueForms,derived,omit,DONE,,champollion-derived
language,clicsContributingDatasets,CLICS contributing datasets,OURS: how many of CLICS3's aggregated source datasets attest this language.,integer,,lexicalResources.clicsContributingDatasets,derived,omit,DONE,,champollion-derived
language,colexificationDensity,Colexification density,"OURS: distinct concepts divided by distinct forms, the legacy panel's ratio — above 1.0 means multiple concepts share forms (high colexification). Same arithmetic as the retired ingest so the public panel's number keeps its meaning.",float,,lexicalResources.colexificationDensity,derived,omit,DONE,,champollion-derived
language,treebankResource,Treebank resource,"A published syntactic treebank for this language (Universal Dependencies). EXISTENCE AND EXTENT only — treebank name, sentence/token counts as published, release — never corpus content; the corpus-content quarantine holds here the same as everywhere. One parameter for every treebank with the treebank in Variant, the lexicalResource pattern.",json,,resources.treebanks,list,omit,DONE,,ud-treebanks
language,orthographicStatus,Orthographic status,"OURS: a positive-evidence synthesis of in-store signals — CLDR official status (standardized / de-facto-standard), script + CLDR presence or keyboard (has-orthography), script alone (developing). NEVER 'unwritten': the retired parameter asserted it about 1,318 languages because we had failed to harvest a script, and script absence stays absence. Derived only where a signal exists; silence stays silence.",string,,orthographicStatus,derived,omit,DONE,,champollion-derived
language,clicsTotalEntries,CLICS total entries,"OURS: total form entries for this language across CLICS3's aggregated datasets (rows, not distinct forms).",integer,,lexicalResources.clicsTotalEntries,derived,omit,DONE,,champollion-derived
language,typologyFeature,Typology feature catalog,"The FULL feature set of a typological catalog (WALS, Grambank, APiCS): one value per language and feature, the upstream feature id as a `feature` variant, the value stated in the publisher's own code label. STORE-ONLY: never projected onto a card and never part of the emitted card-fact dataset — the mapped parameters above are the card-worthy decisions, and this catalog is everything else the source coded, kept attributed and citable for the public catalogue's typology panel. One parameter rather than ~900 near-identical ones, for the same reason lexicalResource is one parameter rather than 145.",json,,(store-only) typologyFeature,none,omit,STORE,,wals|grambank|apics
